activation_id,market,brand_id,category,need_state,mechanic,year,start_month,duration_weeks,spend_eur,measured_uplift_pct,data_quality
ACT-0023,DE,DE-011,vitamins,immunity,sampling,2025,6,6,317641.74,17.47,high
ACT-0024,DE,DE-012,skin,dry_skin,tv_burst,2023,5,2,144728.90,26.65,high
ACT-0025,PL,PL-001,cold_flu,cough,in_pharmacy_display,2024,5,6,82712.34,21.07,low
ACT-0026,PL,PL-002,allergy,seasonal_allergy,digital_awareness,2025,1,10,159397.99,15.21,high
ACT-0027,PL,PL-003,pain,headache,hcp_detailing,2023,3,12,85365.20,7.39,high
ACT-0028,PL,PL-004,digestive,heartburn,pharmacist_incentive,2024,3,6,160239.59,13.28,high
ACT-0029,PL,PL-005,vitamins,immunity,retail_media,2025,3,6,597132.60,29.63,high
ACT-0030,PL,PL-006,skin,dry_skin,price_promo,2023,12,4,122106.37,30.41,low
ACT-0031,PL,PL-007,cold_flu,cough,sampling,2024,5,6,60932.73,8.12,high
ACT-0032,PL,PL-008,allergy,seasonal_allergy,tv_burst,2025,2,4,166398.57,27.93,high
ACT-0033,PL,PL-009,pain,headache,in_pharmacy_display,2023,3,6,194998.11,24.49,high
ACT-0034,PL,PL-010,digestive,heartburn,digital_awareness,2024,1,8,99510.05,13.27,high
ACT-0035,PL,PL-011,vitamins,immunity,hcp_detailing,2025,2,12,431255.59,10.02,low
ACT-0036,PL,PL-012,skin,dry_skin,pharmacist_incentive,2023,12,6,68559.14,9.96,high
ACT-0037,RS,RS-001,cold_flu,cough,retail_media,2024,6,6,11747.84,7.90,high
ACT-0038,RS,RS-002,allergy,seasonal_allergy,price_promo,2025,6,4,7538.86,13.76,low
ACT-0039,RS,RS-003,pain,headache,sampling,2023,9,6,17734.76,5.04,high
ACT-0040,RS,RS-004,digestive,heartburn,tv_burst,2024,4,6,13707.95,5.89,low
ACT-0041,RS,RS-005,vitamins,immunity,in_pharmacy_display,2025,6,6,30354.77,10.05,high
ACT-0042,RS,RS-006,skin,wound_care,digital_awareness,2023,10,8,34022.00,10.09,high
ACT-0043,RS,RS-007,cold_flu,cough,hcp_detailing,2024,3,10,34363.23,5.91,high
ACT-0044,RS,RS-008,allergy,seasonal_allergy,pharmacist_incentive,2025,3,10,23685.16,7.35,high
ACT-0045,RS,RS-009,pain,headache,retail_media,2023,5,6,11684.87,9.07,high
ACT-0046,RS,RS-010,digestive,heartburn,price_promo,2024,5,6,19774.18,12.92,high
ACT-0047,RS,RS-011,vitamins,immunity,sampling,2025,11,6,25018.47,6.44,high
ACT-0048,RS,RS-012,skin,dry_skin,tv_burst,2023,12,6,16626.41,16.37,low
ACT-0049,BE,BE-001,cold_flu,cough,in_pharmacy_display,2024,4,4,40360.47,13.85,high
ACT-0050,BE,BE-002,allergy,seasonal_allergy,digital_awareness,2025,4,8,83526.50,7.82,high
ACT-0051,BE,BE-003,pain,headache,hcp_detailing,2023,1,14,102453.94,6.34,high
ACT-0052,BE,BE-004,digestive,heartburn,pharmacist_incentive,2024,11,10,75002.84,10.45,low
ACT-0053,BE,BE-005,vitamins,immunity,retail_media,2025,4,6,78725.65,15.52,high
ACT-0054,BE,BE-006,skin,dry_skin,price_promo,2023,12,2,55049.16,21.05,high
ACT-0055,BE,BE-007,cold_flu,cough,sampling,2024,10,4,25210.71,5.50,high
ACT-0056,BE,BE-008,allergy,seasonal_allergy,tv_burst,2025,1,6,65736.11,19.38,high
ACT-0057,BE,BE-009,pain,headache,in_pharmacy_display,2023,4,6,133932.36,20.03,high
ACT-0058,BE,BE-010,digestive,heartburn,digital_awareness,2024,5,6,87050.68,7.74,high
ACT-0059,BE,BE-011,vitamins,immunity,hcp_detailing,2025,3,12,50857.90,6.77,high
ACT-0060,BE,BE-012,skin,dry_skin,pharmacist_incentive,2023,12,8,85352.97,11.05,high
ACT-0061,DE,DE-001,cold_flu,cough,retail_media,2024,3,4,293816.93,23.42,low
ACT-0062,DE,DE-002,allergy,seasonal_allergy,price_promo,2025,11,2,149633.18,36.38,high
ACT-0063,DE,DE-003,pain,headache,sampling,2023,4,2,49578.55,5.71,high
ACT-0064,DE,DE-004,digestive,heartburn,tv_burst,2024,3,2,164605.71,25.42,low
ACT-0065,DE,DE-005,vitamins,immunity,in_pharmacy_display,2025,3,4,232764.91,20.50,high
ACT-0066,DE,DE-006,skin,dry_skin,digital_awareness,2023,1,10,460205.07,17.68,high
ACT-0067,DE,DE-007,cold_flu,cough,hcp_detailing,2024,4,12,367899.65,10.54,high
ACT-0068,DE,DE-008,allergy,seasonal_allergy,pharmacist_incentive,2025,1,8,330452.69,16.96,low
ACT-0069,DE,DE-009,pain,headache,retail_media,2023,10,6,821472.98,32.65,high
ACT-0070,DE,DE-010,digestive,heartburn,price_promo,2024,9,2,232827.87,34.57,high
ACT-0071,DE,DE-011,vitamins,immunity,sampling,2025,4,4,337900.91,16.54,high
ACT-0072,DE,DE-012,skin,dry_skin,tv_burst,2023,11,6,288629.80,31.50,high
ACT-0073,PL,PL-001,cold_flu,cough,in_pharmacy_display,2024,1,6,92637.22,16.20,high
ACT-0074,PL,PL-002,allergy,seasonal_allergy,digital_awareness,2025,4,10,129293.98,13.94,high
ACT-0075,PL,PL-003,pain,headache,hcp_detailing,2023,12,14,128509.18,8.76,high
ACT-0076,PL,PL-004,digestive,heartburn,pharmacist_incentive,2024,6,10,128177.94,13.32,high
ACT-0077,PL,PL-005,vitamins,immunity,retail_media,2025,12,6,351385.53,21.21,high
ACT-0078,PL,PL-006,skin,dry_skin,price_promo,2023,11,4,70188.13,23.56,high
ACT-0079,PL,PL-007,cold_flu,cough,sampling,2024,1,4,95813.77,8.54,low
ACT-0080,PL,PL-008,allergy,seasonal_allergy,tv_burst,2025,1,6,174727.47,25.72,low
ACT-0081,PL,PL-009,pain,headache,in_pharmacy_display,2023,9,6,113163.27,20.25,high
ACT-0082,PL,PL-010,digestive,heartburn,digital_awareness,2024,10,10,105657.61,7.62,high
ACT-0083,PL,PL-011,vitamins,immunity,hcp_detailing,2025,2,12,371336.00,12.56,high
ACT-0084,PL,PL-012,skin,dry_skin,pharmacist_incentive,2023,3,8,286229.46,18.44,high
ACT-0085,RS,RS-001,cold_flu,cough,retail_media,2024,1,6,35744.45,10.68,high
ACT-0086,RS,RS-002,allergy,seasonal_allergy,price_promo,2025,9,4,2176.52,6.84,high
ACT-0087,RS,RS-003,pain,headache,sampling,2023,6,4,5981.85,4.27,high
ACT-0088,RS,RS-004,digestive,heartburn,tv_burst,2024,6,4,14848.52,9.92,high
ACT-0089,RS,RS-005,vitamins,immunity,in_pharmacy_display,2025,11,6,30478.13,14.02,high
ACT-0090,RS,RS-006,skin,wound_care,digital_awareness,2023,6,6,11536.39,3.60,high
ACT-0091,RS,RS-007,cold_flu,cough,hcp_detailing,2024,10,10,15428.21,4.72,high
ACT-0092,RS,RS-008,allergy,seasonal_allergy,pharmacist_incentive,2025,10,10,12145.35,5.25,high
ACT-0093,RS,RS-009,pain,headache,retail_media,2023,5,4,10232.97,7.62,high
ACT-0094,RS,RS-010,digestive,heartburn,price_promo,2024,6,2,7457.74,11.42,high
ACT-0095,RS,RS-011,vitamins,immunity,sampling,2025,5,4,11024.20,4.51,high
ACT-0096,RS,RS-012,skin,dry_skin,tv_burst,2023,1,2,5957.73,7.21,high
ACT-0097,BE,BE-001,cold_flu,cough,in_pharmacy_display,2024,3,6,57465.23,13.34,high
ACT-0098,BE,BE-002,allergy,seasonal_allergy,digital_awareness,2025,12,8,48593.24,4.36,high
ACT-0099,BE,BE-003,pain,headache,hcp_detailing,2023,6,14,82857.30,8.90,high
ACT-0100,BE,BE-004,digestive,heartburn,pharmacist_incentive,2024,12,6,61515.50,9.13,high
ACT-0101,BE,BE-005,vitamins,immunity,retail_media,2025,12,8,133927.28,14.57,high
ACT-0102,BE,BE-006,skin,dry_skin,price_promo,2023,4,2,54867.35,25.64,high
ACT-0103,BE,BE-007,cold_flu,cough,sampling,2024,1,4,18551.25,3.64,high
ACT-0104,BE,BE-008,allergy,seasonal_allergy,tv_burst,2025,3,2,11813.59,11.76,high
ACT-0105,BE,BE-009,pain,headache,in_pharmacy_display,2023,3,6,55448.94,16.95,high
ACT-0106,BE,BE-010,digestive,heartburn,digital_awareness,2024,4,8,88850.35,8.69,high
ACT-0107,BE,BE-011,vitamins,immunity,hcp_detailing,2025,3,10,52487.27,5.93,low
ACT-0108,BE,BE-012,skin,dry_skin,pharmacist_incentive,2023,5,8,82302.90,7.70,high
ACT-0109,DE,DE-001,cold_flu,cough,retail_media,2024,2,6,349901.46,21.94,high
ACT-0110,DE,DE-002,allergy,seasonal_allergy,price_promo,2025,10,4,238944.49,43.50,high
ACT-0111,DE,DE-003,pain,headache,sampling,2023,4,4,203178.53,12.36,high
ACT-0112,DE,DE-004,digestive,heartburn,tv_burst,2024,10,6,424773.39,33.18,high
ACT-0113,DE,DE-005,vitamins,immunity,in_pharmacy_display,2025,11,6,653729.89,31.74,high
ACT-0114,DE,DE-006,skin,dry_skin,digital_awareness,2023,9,6,184581.87,13.44,high
ACT-0115,DE,DE-007,cold_flu,cough,hcp_detailing,2024,3,10,334824.33,8.65,high
ACT-0116,DE,DE-008,allergy,seasonal_allergy,pharmacist_incentive,2025,3,10,311848.14,14.81,high
ACT-0117,DE,DE-009,pain,headache,retail_media,2023,10,4,571265.71,26.58,high
ACT-0118,DE,DE-010,digestive,heartburn,price_promo,2024,6,2,195658.51,36.30,high
ACT-0119,DE,DE-011,vitamins,immunity,sampling,2025,12,4,382201.32,15.92,high
ACT-0120,DE,DE-012,skin,dry_skin,tv_burst,2023,1,6,524167.04,36.83,high
ACT-0121,PL,PL-001,cold_flu,cough,in_pharmacy_display,2024,1,8,118008.82,19.90,high
ACT-0122,PL,PL-002,allergy,seasonal_allergy,digital_awareness,2025,4,6,50293.35,10.32,high
ACT-0123,PL,PL-003,pain,headache,hcp_detailing,2023,12,12,82804.74,6.04,high
ACT-0124,PL,PL-004,digestive,heartburn,pharmacist_incentive,2024,5,8,219668.05,18.03,high
ACT-0125,PL,PL-005,vitamins,immunity,retail_media,2025,12,6,287442.11,17.70,high
ACT-0126,PL,PL-006,skin,dry_skin,price_promo,2023,12,2,33868.86,21.37,high
ACT-0127,PL,PL-007,cold_flu,cough,sampling,2024,11,4,112318.54,9.79,high
ACT-0128,PL,PL-008,allergy,seasonal_allergy,tv_burst,2025,2,6,111865.99,21.37,low
ACT-0129,PL,PL-009,pain,headache,in_pharmacy_display,2023,3,6,301516.18,23.25,high
ACT-0130,PL,PL-010,digestive,heartburn,digital_awareness,2024,3,8,219631.26,14.64,high
ACT-0131,PL,PL-011,vitamins,immunity,hcp_detailing,2025,4,12,210545.91,9.43,high
ACT-0132,PL,PL-012,skin,dry_skin,pharmacist_incentive,2023,3,10,271805.08,13.64,low
ACT-0133,RS,RS-001,cold_flu,cough,retail_media,2024,1,6,25553.19,8.06,high
ACT-0134,RS,RS-002,allergy,seasonal_allergy,price_promo,2025,11,6,3413.92,7.23,high
ACT-0135,RS,RS-003,pain,headache,sampling,2023,3,2,2662.96,1.85,high
ACT-0136,RS,RS-004,digestive,heartburn,tv_burst,2024,11,4,30151.70,14.53,high
ACT-0137,RS,RS-005,vitamins,immunity,in_pharmacy_display,2025,12,6,33257.80,10.68,high
ACT-0138,RS,RS-006,skin,wound_care,digital_awareness,2023,11,6,6354.47,7.14,high
ACT-0139,RS,RS-007,cold_flu,cough,hcp_detailing,2024,5,12,49564.12,7.18,high
ACT-0140,RS,RS-008,allergy,seasonal_allergy,pharmacist_incentive,2025,10,8,24439.98,7.32,high
ACT-0141,RS,RS-009,pain,headache,retail_media,2023,11,6,25879.67,9.65,high
ACT-0142,RS,RS-010,digestive,heartburn,price_promo,2024,2,2,6787.50,13.70,high
ACT-0143,RS,RS-011,vitamins,immunity,sampling,2025,6,2,5373.62,3.35,high
ACT-0144,RS,RS-012,skin,dry_skin,tv_burst,2023,11,2,15436.69,12.40,high
ACT-0145,BE,BE-001,cold_flu,cough,in_pharmacy_display,2024,9,8,62054.37,13.49,high
ACT-0146,BE,BE-002,allergy,seasonal_allergy,digital_awareness,2025,9,8,45367.87,8.55,high
ACT-0147,BE,BE-003,pain,headache,hcp_detailing,2023,6,12,38329.74,4.97,high
ACT-0148,BE,BE-004,digestive,heartburn,pharmacist_incentive,2024,3,10,192163.93,15.36,low
ACT-0149,BE,BE-005,vitamins,immunity,retail_media,2025,4,4,68508.54,7.37,high
ACT-0150,BE,BE-006,skin,dry_skin,price_promo,2023,5,4,110040.74,32.39,low
ACT-0151,BE,BE-007,cold_flu,cough,sampling,2024,12,2,8599.46,3.78,high
ACT-0152,BE,BE-008,allergy,seasonal_allergy,tv_burst,2025,1,4,26233.44,11.87,high
ACT-0153,BE,BE-009,pain,headache,in_pharmacy_display,2023,6,4,88032.32,13.95,high
ACT-0154,BE,BE-010,digestive,heartburn,digital_awareness,2024,3,8,35102.45,5.68,high
ACT-0155,BE,BE-011,vitamins,immunity,hcp_detailing,2025,1,12,190880.24,9.15,high
ACT-0156,BE,BE-012,skin,dry_skin,pharmacist_incentive,2023,6,10,49380.38,11.81,high
ACT-0157,DE,DE-001,cold_flu,cough,retail_media,2024,2,6,472325.93,25.48,high
ACT-0158,DE,DE-002,allergy,seasonal_allergy,price_promo,2025,4,2,110600.74,32.66,high
ACT-0159,DE,DE-003,pain,headache,sampling,2023,3,6,223481.06,12.68,low
ACT-0160,DE,DE-004,digestive,heartburn,tv_burst,2024,3,2,236755.70,27.21,high
ACT-0161,DE,DE-005,vitamins,immunity,in_pharmacy_display,2025,9,4,508613.63,31.05,high
ACT-0162,DE,DE-006,skin,dry_skin,digital_awareness,2023,9,10,197067.29,9.72,high
ACT-0163,DE,DE-007,cold_flu,cough,hcp_detailing,2024,10,12,605291.99,15.65,high
ACT-0164,DE,DE-008,allergy,seasonal_allergy,pharmacist_incentive,2025,11,8,624168.50,23.42,high
ACT-0165,DE,DE-009,pain,headache,retail_media,2023,1,4,224893.90,18.93,high
ACT-0166,DE,DE-010,digestive,heartburn,price_promo,2024,2,2,164292.94,34.81,high
ACT-0167,DE,DE-011,vitamins,immunity,sampling,2025,2,4,428594.14,19.68,high
ACT-0168,DE,DE-012,skin,dry_skin,tv_burst,2023,12,6,249722.10,25.77,high
ACT-0169,PL,PL-001,cold_flu,cough,in_pharmacy_display,2024,9,6,92139.44,14.13,high
ACT-0170,PL,PL-002,allergy,seasonal_allergy,digital_awareness,2025,6,8,190502.25,9.12,high
ACT-0171,PL,PL-003,pain,headache,hcp_detailing,2023,3,10,74859.05,8.66,high
ACT-0172,PL,PL-004,digestive,heartburn,pharmacist_incentive,2024,2,8,256721.29,17.12,high
ACT-0173,PL,PL-005,vitamins,immunity,retail_media,2025,3,8,254072.06,20.42,high
ACT-0174,PL,PL-006,skin,dry_skin,price_promo,2023,1,6,96882.55,29.35,high
ACT-0175,PL,PL-007,cold_flu,cough,sampling,2024,2,4,72625.79,9.44,high
ACT-0176,PL,PL-008,allergy,seasonal_allergy,tv_burst,2025,10,4,133652.84,24.50,high
ACT-0177,PL,PL-009,pain,headache,in_pharmacy_display,2023,2,6,320973.60,27.56,high
ACT-0178,PL,PL-010,digestive,heartburn,digital_awareness,2024,12,8,143706.18,12.68,high
ACT-0179,PL,PL-011,vitamins,immunity,hcp_detailing,2025,1,10,179700.87,8.77,low
ACT-0180,PL,PL-012,skin,dry_skin,pharmacist_incentive,2023,1,8,121581.70,12.39,high
ACT-0181,RS,RS-001,cold_flu,cough,retail_media,2024,3,6,32278.80,11.41,high
ACT-0182,RS,RS-002,allergy,seasonal_allergy,price_promo,2025,9,4,4471.43,10.00,high
ACT-0183,RS,RS-003,pain,headache,sampling,2023,1,2,5312.66,3.64,high
ACT-0184,RS,RS-004,digestive,heartburn,tv_burst,2024,1,6,14747.03,7.13,high
ACT-0185,RS,RS-005,vitamins,immunity,in_pharmacy_display,2025,4,8,25211.35,12.31,high
ACT-0186,RS,RS-006,skin,wound_care,digital_awareness,2023,4,8,23373.29,3.46,high
ACT-0187,RS,RS-007,cold_flu,cough,hcp_detailing,2024,2,12,32956.12,4.99,high
ACT-0188,RS,RS-008,allergy,seasonal_allergy,pharmacist_incentive,2025,9,8,27968.28,6.00,high
ACT-0189,RS,RS-009,pain,headache,retail_media,2023,4,8,38829.30,11.97,high
ACT-0190,RS,RS-010,digestive,heartburn,price_promo,2024,10,6,19026.49,13.41,low
ACT-0191,RS,RS-011,vitamins,immunity,sampling,2025,9,4,10183.61,5.90,high
ACT-0192,RS,RS-012,skin,dry_skin,tv_burst,2023,2,6,50200.38,16.67,high
ACT-0193,BE,BE-001,cold_flu,cough,in_pharmacy_display,2024,4,6,70314.97,15.78,high
ACT-0194,BE,BE-002,allergy,seasonal_allergy,digital_awareness,2025,11,10,39416.39,10.03,high
ACT-0195,BE,BE-003,pain,headache,hcp_detailing,2023,5,12,45964.65,4.82,high
ACT-0196,BE,BE-004,digestive,heartburn,pharmacist_incentive,2024,4,8,60571.60,9.76,high
ACT-0197,BE,BE-005,vitamins,immunity,retail_media,2025,6,6,70441.54,9.28,high
ACT-0198,BE,BE-006,skin,dry_skin,price_promo,2023,6,4,38225.68,11.34,low
ACT-0199,BE,BE-007,cold_flu,cough,sampling,2024,6,4,40454.56,7.42,high
ACT-0200,BE,BE-008,allergy,seasonal_allergy,tv_burst,2025,1,2,23853.11,15.08,high
ACT-0201,BE,BE-009,pain,headache,in_pharmacy_display,2023,3,6,48098.59,16.99,high
ACT-0202,BE,BE-010,digestive,heartburn,digital_awareness,2024,1,6,35920.77,10.01,high
ACT-0203,BE,BE-011,vitamins,immunity,hcp_detailing,2025,3,14,67669.89,6.83,high
ACT-0204,BE,BE-012,skin,dry_skin,pharmacist_incentive,2023,4,8,65923.75,10.81,high
ACT-0205,DE,DE-001,cold_flu,cough,retail_media,2024,4,4,276927.91,18.48,high
ACT-0206,DE,DE-002,allergy,seasonal_allergy,price_promo,2025,11,2,120755.05,29.33,high
ACT-0207,DE,DE-003,pain,headache,sampling,2023,3,2,110609.12,10.37,high
ACT-0208,DE,DE-004,digestive,heartburn,tv_burst,2024,5,4,409472.28,30.67,high
ACT-0209,DE,DE-005,vitamins,immunity,in_pharmacy_display,2025,3,8,476834.58,29.14,high
ACT-0210,DE,DE-006,skin,dry_skin,digital_awareness,2023,9,8,170761.94,15.56,high
ACT-0211,DE,DE-007,cold_flu,cough,hcp_detailing,2024,10,12,971133.79,16.23,high
ACT-0212,DE,DE-008,allergy,seasonal_allergy,pharmacist_incentive,2025,10,8,842331.24,25.16,high
ACT-0213,DE,DE-009,pain,headache,retail_media,2023,5,4,191916.72,18.20,high
ACT-0214,DE,DE-010,digestive,heartburn,price_promo,2024,12,2,400381.95,43.48,high
ACT-0215,DE,DE-011,vitamins,immunity,sampling,2025,10,4,294065.43,14.65,high
ACT-0216,DE,DE-012,skin,dry_skin,tv_burst,2023,11,4,155080.72,22.63,high
ACT-0217,PL,PL-001,cold_flu,cough,in_pharmacy_display,2024,1,6,179283.98,21.43,high
ACT-0218,PL,PL-002,allergy,seasonal_allergy,digital_awareness,2025,4,8,64923.22,8.90,high
ACT-0219,PL,PL-003,pain,headache,hcp_detailing,2023,1,10,219487.46,6.19,high
ACT-0220,PL,PL-004,digestive,heartburn,pharmacist_incentive,2024,10,8,108442.24,12.29,high
